mechanism_id,paper_expectation,simulator_behavior,code_location,test_artifact_evidence,status,required_fix_or_claim_boundary
three_tier_topology,"Task source / IoT layer, edge agents, and cloud are represented as a three-tier CEC topology.","The runtime layer uses deterministic topology profiles and scenario fixtures to represent the source, edge, and cloud tiers.",resources/papers/hoodie/ocr/merged.txt; src/analysis/hoodie_runtime_evaluation_runner/config.py; src/analysis/hoodie_runtime_evaluation_runner/scenarios.py,tests/unit/test_hoodie_runtime_evaluation_runner_scenarios.py; artifacts/feature_085_full_audit/raw_rows.json,approximate_documented,Document the deterministic topology abstraction; no new simulator topology is claimed.
edge_agent_set_cloud_node,Multiple edge agents plus one cloud node exist as active runtime participants.,The runtime policy set and scenario contexts model multiple edge agents plus a cloud destination.,src/analysis/hoodie_runtime_evaluation_runner/config.py; src/analysis/hoodie_runtime_evaluation_runner/model.py,tests/unit/test_hoodie_runtime_evaluation_runner_policies.py; artifacts/feature_085_full_audit/feature_085_audit_report.json,approximate_documented,"Treat the active policy set and scenario contexts as the evidence boundary, not as a full distributed runtime simulator."
horizontal_connectivity_legality,Horizontal EA-to-EA destinations must be legal only when topology permits them.,The policy layer distinguishes legal horizontal destinations from illegal attempts and rejects invalid horizontal choices.,src/analysis/hoodie_runtime_evaluation_runner/policies.py; src/analysis/hoodie_runtime_evaluation_runner/scenarios.py,tests/unit/test_hoodie_runtime_evaluation_runner_policies.py::test_ho_prefers_horizontal_when_legal_destination_exists; tests/integration/test_hoodie_runtime_evaluation_runner_report.py,approximate_documented,The legality model is documented through candidate/action legality checks.
vertical_ea_cloud_path,Vertical offload reaches the cloud path and uses cloud-side execution capacity.,The runtime scenarios include cloud-vertical fallback and vertical offload decisions with cloud destinations.,src/analysis/hoodie_runtime_evaluation_runner/policies.py; src/analysis/hoodie_runtime_evaluation_runner/scenarios.py,tests/unit/test_hoodie_runtime_evaluation_runner_policies.py::test_vo_always_vertical; artifacts/feature_085_full_audit/raw_rows.json,approximate_documented,"The cloud path is evidenced by scenario traces, not by a separate cloud simulator service."
task_model,"Tasks carry ID, data size, CPU demand/processing density, and deadline/timeout semantics.","TaskBlueprint and scenario rows retain task_id, workload, deadline pressure, and arrival/completion timing fields.",src/analysis/hoodie_runtime_evaluation_runner/model.py; src/analysis/hoodie_runtime_evaluation_runner/scenarios.py,artifacts/feature_085_full_audit/raw_rows.json; tests/unit/test_hoodie_runtime_evaluation_runner_scenarios.py,approximate_documented,The task model is reconstructed through deterministic scenario fixtures and runtime rows.
workload_arrival_representation,Workload arrivals are represented over time or documented as deterministic approximations.,Scenario definitions encode workload and deadline-pressure profiles deterministically with seeds.,src/analysis/hoodie_runtime_evaluation_runner/config.py; src/analysis/hoodie_runtime_evaluation_runner/scenarios.py,tests/unit/test_hoodie_runtime_evaluation_runner_scenarios.py; artifacts/feature_085_full_audit/execution_manifest.json,approximate_documented,Document the deterministic workload approximation; do not claim stochastic arrival fidelity.
private_queue_behavior,Local/private queue behavior contributes waiting and completion time before local execution finishes.,"Queue-length observations and delay traces are captured in the runtime rows, but the queue is represented through deterministic evidence rather than a standalone queue engine.",src/analysis/hoodie_runtime_evaluation_runner/model.py; src/analysis/hoodie_runtime_evaluation_runner/runner.py,artifacts/feature_085_full_audit/raw_rows.json; tests/unit/test_hoodie_runtime_evaluation_runner_metrics.py,approximate_documented,"This is an evidence-layer queue approximation, not a claim that the full FIFO queue simulator exists."
offloading_queue_behavior,Offloaded tasks use offloading queues and transmission-time evidence before destination execution.,Horizontal and vertical candidate traces expose delay components and queue-length snapshots for offloaded actions.,src/policies/mleo.py; src/analysis/hoodie_runtime_evaluation_runner/policies.py; src/analysis/hoodie_runtime_evaluation_runner/model.py,tests/unit/test_mleo_latency_evidence.py; artifacts/feature_085_full_audit/raw_rows.json,approximate_documented,"The evidence is candidate-based, not a full queue-simulation replay."
public_cloud_queue_behavior,Public/cloud queues receive vertically offloaded tasks and expose cloud-side waiting/execution behavior.,The cloud path appears in the runtime outcomes and scenario traces; public/cloud queue behavior is documented through output timing rather than a separate queue model.,src/analysis/hoodie_runtime_evaluation_runner/scenarios.py; src/analysis/hoodie_runtime_evaluation_runner/runner.py,artifacts/feature_085_full_audit/raw_rows.json; artifacts/feature_085_full_audit/feature_085_audit_report.md,approximate_documented,The cloud queue is an audit abstraction and not a dedicated runtime queue class.
local_execution_delay,Local execution delay contributes to completion time.,Local actions surface delay values and completion times in raw rows and aggregate metrics.,src/analysis/hoodie_runtime_evaluation_runner/model.py; src/analysis/hoodie_runtime_evaluation_runner/runner.py,artifacts/feature_085_full_audit/raw_rows.json; tests/unit/test_hoodie_runtime_evaluation_runner_artifacts.py,approximate_documented,"Local delay is evidenced in runtime rows, not by a standalone physical simulator."
horizontal_transmission_delay,Horizontal offload delay includes transmission delay between edge agents.,MLEO candidate traces expose horizontal transmission_delay and total_delay components.,src/policies/mleo.py; src/analysis/hoodie_runtime_evaluation_runner/policies.py,tests/unit/test_mleo_latency_evidence.py::test_mleo_selects_minimum_total_delay_not_minimum_queue_length,exact,No additional repair required for the evidence layer.
