equation,status,equation_text,necessity_reason,required_action
1,MERGE_OR_INLINE,"\chi_n(t)= \begin{cases} 1, & \text{if a new task arrives in EA } n \text{ at time slot } t,\\ 0, & \text{otherwise.} \end{cases}",Baseline arrival indicator; needed by the simulator but not a distinct ECHO contribution.,Define in prose or the notation table; keep the boolean field in code.
2,KEEP_CORE,d_i=t+\delta_i-1.,Creates the absolute deadline used by every ERT and success condition.,Keep explicitly numbered and unit-test off-by-one behavior.
3,KEEP_CORE,"\mathcal{A}_n(t)=\{\alpha_n^L\}\cup\{\alpha_{n,k}^H\mid k\in\mathcal{E}\setminus\{n\},\,G(n,k)=1\}\cup\{\alpha_n^V\}.","Defines the physically available local, connected-edge, and cloud routes.",Keep explicitly; it is the root of physical masking.
4,MERGE_OR_INLINE,"\kappa(\alpha)=\begin{cases}n, & \alpha=\alpha_n^L,\\k, & \alpha=\alpha_{n,k}^H,\\N+1, & \alpha=\alpha_n^V.\end{cases}",A convenience destination map derived directly from the action labels.,Inline as a definition beside Eq. 3 or encode as an action-to-destination helper.
5,MERGE_OR_INLINE,"\mathcal{Q}_i^{src}(t)=\begin{cases}\mathcal{Q}_{s_i}^L(t), & \kappa(\alpha_i)=s_i,\\\mathcal{Q}_{s_i}^X(t), & \kappa(\alpha_i)\neq s_i.\end{cases}",A direct consequence of local versus offload action selection.,Merge with queue-admission prose; no separate scientific equation is needed.
6,MERGE_OR_INLINE,"k_i=\kappa(\alpha_i),\qquad k_i\in\mathcal{N}\setminus\{s_i\}.","Stored destination is essential, but this equation only restates the action mapping.","Keep as an implementation invariant, not a standalone numbered equation."
7,APPENDIX_OR_SPEC,"z_{i,k}^D(t)=\begin{cases}1, & \text{if transmission of task }\xi_i\text{ to node }k\text{ finishes at }t-1,\\0, & \text{otherwise}.\end{cases}",Defines slot-boundary transmission completion chronology rather than ECHO novelty.,Retain in the simulator contract/appendix and test boundary timing.
8,REMOVE_AS_NUMBERED,"U_k^D(t)=\sum_{i:s_i\neq k}z_{i,k}^D(t).",The aggregate destination-arrival count is not used by later equations or the learning rule.,Remove from the main method unless a metric or constraint explicitly consumes it.
9,KEEP_SUPPORTING,\tau_i^L=\left\lceil\frac{b_i\nu_i}{f_n^L\Delta}\right\rceil.,Required to estimate local service duration and reproduce slot-level execution.,Keep; verify units and ceiling behavior.
10,KEEP_CORE,"\widehat W_i^L(t)=\varrho_n^L(t)+\sum_{\xi_h\in\mathcal{H}_i^L(t)}\tau_h^L,",Defines local waiting under the constructive predecessor order.,Keep and link explicitly to the deterministic order-construction procedure.
11,KEEP_CORE,\widehat T_i^L(t)=t+\widehat W_i^L(t)+\tau_i^L-1.,Produces the local candidate completion estimate used by ERT.,Keep and test one-slot and idle-CPU cases.
12,MERGE_OR_INLINE,"R_{s_i,k_i}=\begin{cases}R_H, & k_i\in\mathcal{E}\setminus\{s_i\},\\ R_V, & k_i=N+1.\end{cases}",A baseline rate selector that can be folded into transmission duration.,Merge with Eq. 13 or define in the notation table.
13,KEEP_SUPPORTING,"\tau_{i,k_i}^X=\left\lceil\frac{b_i}{R_{s_i,k_i}\Delta}\right\rceil.",Required for source-side offloading duration.,Keep; verify horizontal/cloud rate selection and slot rounding.
14,KEEP_CORE,"\widehat W_i^X(t)=\varrho_n^X(t)+\sum_{\xi_h\in\mathcal{H}_i^X(t)}\tau_{h,k_h}^X,",Defines outbound waiting under the ERT order and stored destinations.,Keep and test heterogeneous destination rates among predecessors.
15,KEEP_CORE,"\widehat T_{i,k_i}^X(t)=t+\widehat W_i^X(t)+\tau_{i,k_i}^X-1.",Defines completion of the source transmission stage.,Keep; it is needed for destination-arrival timing.
16,MERGE_OR_INLINE,"\widehat t_{i,k_i}^D(t)=\widehat T_{i,k_i}^X(t)+1.",The destination arrival slot is a one-line consequence of Eq. 15 and the boundary chronology.,Inline with Eq. 25 or the lifecycle specification.
17,KEEP_SUPPORTING,"\mathcal{J}_k(t)=\begin{cases}\left\{n\in\mathcal{E}\setminus\{k\}\mid \Omega_{n\rightarrow k}(t)>0\right\}, & k\in\mathcal{E},\\\left\{n\in\mathcal{E}\mid \Omega_{n\rightarrow k}(t)>0\right\}, & k=N+1.\end{cases}",Defines active source-indexed destination queues for capacity sharing.,"Keep, but state whether the active head task remains included in the queue state."
