metric,rank,policy,value,direction,tie_break_trace
average_reward,1,HOODIE,-6.503968253968254,higher_is_better,"[""average_reward=-6.503968253968254"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
average_reward,2,MLEO,-6.503968253968254,higher_is_better,"[""average_reward=-6.503968253968254"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
average_reward,3,VO,-6.777777777777778,higher_is_better,"[""average_reward=-6.777777777777778"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
average_reward,4,FLC,-7.051587301587301,higher_is_better,"[""average_reward=-7.051587301587301"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
average_reward,5,BCO,-8.670634920634921,higher_is_better,"[""average_reward=-8.670634920634921"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
average_reward,6,RO,-8.833994708994709,higher_is_better,"[""average_reward=-8.833994708994709"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
average_reward,7,HO,-13.01984126984127,higher_is_better,"[""average_reward=-13.01984126984127"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
completion_rate,1,HOODIE,0.9543650793650794,higher_is_better,"[""completion_rate=0.9543650793650794"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
completion_rate,2,MLEO,0.9543650793650794,higher_is_better,"[""completion_rate=0.9543650793650794"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
completion_rate,3,VO,0.9503968253968254,higher_is_better,"[""completion_rate=0.9503968253968254"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
completion_rate,4,FLC,0.9464285714285714,higher_is_better,"[""completion_rate=0.9464285714285714"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
completion_rate,5,BCO,0.9027777777777778,higher_is_better,"[""completion_rate=0.9027777777777778"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
completion_rate,6,RO,0.8988095238095238,higher_is_better,"[""completion_rate=0.8988095238095238"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
completion_rate,7,HO,0.7896825396825397,higher_is_better,"[""completion_rate=0.7896825396825397"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
deadline_violation_rate,1,HOODIE,0.08333333333333333,lower_is_better,"[""deadline_violation_rate=0.08333333333333333"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
deadline_violation_rate,2,MLEO,0.08333333333333333,lower_is_better,"[""deadline_violation_rate=0.08333333333333333"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
deadline_violation_rate,3,VO,0.10317460317460317,lower_is_better,"[""deadline_violation_rate=0.10317460317460317"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
deadline_violation_rate,4,FLC,0.12301587301587301,lower_is_better,"[""deadline_violation_rate=0.12301587301587301"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
deadline_violation_rate,5,BCO,0.13095238095238096,lower_is_better,"[""deadline_violation_rate=0.13095238095238096"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
deadline_violation_rate,6,RO,0.13293650793650794,lower_is_better,"[""deadline_violation_rate=0.13293650793650794"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
deadline_violation_rate,7,HO,0.17063492063492064,lower_is_better,"[""deadline_violation_rate=0.17063492063492064"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
illegal_action_rejection_count,1,HOODIE,0.0,lower_is_better,"[""illegal_action_rejection_count=0.0"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
illegal_action_rejection_count,2,MLEO,0.0,lower_is_better,"[""illegal_action_rejection_count=0.0"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
illegal_action_rejection_count,3,VO,0.0,lower_is_better,"[""illegal_action_rejection_count=0.0"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
illegal_action_rejection_count,4,FLC,0.0,lower_is_better,"[""illegal_action_rejection_count=0.0"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
illegal_action_rejection_count,5,BCO,63.0,lower_is_better,"[""illegal_action_rejection_count=63.0"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
illegal_action_rejection_count,6,RO,69.0,lower_is_better,"[""illegal_action_rejection_count=69.0"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
illegal_action_rejection_count,7,HO,216.0,lower_is_better,"[""illegal_action_rejection_count=216.0"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
queue_stability_score,1,HOODIE,0.17937041032955262,higher_is_better,"[""queue_stability_score=0.17937041032955262"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
queue_stability_score,2,MLEO,0.17937041032955262,higher_is_better,"[""queue_stability_score=0.17937041032955262"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
queue_stability_score,3,VO,0.17937041032955262,higher_is_better,"[""queue_stability_score=0.17937041032955262"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
queue_stability_score,4,FLC,0.17937041032955262,higher_is_better,"[""queue_stability_score=0.17937041032955262"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
queue_stability_score,5,BCO,0.17937041032955262,higher_is_better,"[""queue_stability_score=0.17937041032955262"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
queue_stability_score,6,RO,0.17937041032955262,higher_is_better,"[""queue_stability_score=0.17937041032955262"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
