task_id,completed,dropped_timeout,dropped_unavailable,deadline_violation,illegal_action_rejected,arrival_time,completion_time,delay,reward,queue_length_observations,policy,scenario_name,workload,deadline_pressure,seed,selected_action,resolved_destination,compatibility_mode_used
cloud_vertical_fallback-7-0,True,False,False,False,False,0,5,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,7,vertical,cloud,False
cloud_vertical_fallback-7-1,True,False,False,False,False,1,6,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,7,vertical,cloud,False
cloud_vertical_fallback-7-2,True,False,False,False,False,2,7,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,7,vertical,cloud,False
cloud_vertical_fallback-7-3,True,False,False,False,False,3,8,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,7,vertical,cloud,False
cloud_vertical_fallback-7-4,True,False,False,False,False,4,9,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,7,vertical,cloud,False
cloud_vertical_fallback-7-5,True,False,False,False,False,5,10,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,7,vertical,cloud,False
cloud_vertical_fallback-13-0,True,False,False,False,False,0,5,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,13,vertical,cloud,False
cloud_vertical_fallback-13-1,True,False,False,False,False,1,6,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,13,vertical,cloud,False
cloud_vertical_fallback-13-2,True,False,False,False,False,2,7,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,13,vertical,cloud,False
cloud_vertical_fallback-13-3,True,False,False,False,False,3,8,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,13,vertical,cloud,False
cloud_vertical_fallback-13-4,True,False,False,False,False,4,9,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,13,vertical,cloud,False
cloud_vertical_fallback-13-5,True,False,False,False,False,5,10,5.0,-5.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,moderate,13,vertical,cloud,False
cloud_vertical_fallback-7-0,True,False,False,False,False,0,4,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,7,vertical,cloud,False
cloud_vertical_fallback-7-1,True,False,False,False,False,1,5,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,7,vertical,cloud,False
cloud_vertical_fallback-7-2,True,False,False,False,False,2,6,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,7,vertical,cloud,False
cloud_vertical_fallback-7-3,True,False,False,False,False,3,7,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,7,vertical,cloud,False
cloud_vertical_fallback-7-4,True,False,False,False,False,4,8,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,7,vertical,cloud,False
cloud_vertical_fallback-7-5,True,False,False,False,False,5,9,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,7,vertical,cloud,False
cloud_vertical_fallback-13-0,True,False,False,False,False,0,4,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,13,vertical,cloud,False
cloud_vertical_fallback-13-1,True,False,False,False,False,1,5,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,13,vertical,cloud,False
cloud_vertical_fallback-13-2,True,False,False,False,False,2,6,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,13,vertical,cloud,False
cloud_vertical_fallback-13-3,True,False,False,False,False,3,7,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,13,vertical,cloud,False
cloud_vertical_fallback-13-4,True,False,False,False,False,4,8,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,13,vertical,cloud,False
cloud_vertical_fallback-13-5,True,False,False,False,False,5,9,4.0,-4.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,relaxed,13,vertical,cloud,False
cloud_vertical_fallback-7-0,True,False,False,True,False,0,6,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,7,vertical,cloud,False
cloud_vertical_fallback-7-1,True,False,False,True,False,1,7,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,7,vertical,cloud,False
cloud_vertical_fallback-7-2,True,False,False,True,False,2,8,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,7,vertical,cloud,False
cloud_vertical_fallback-7-3,True,False,False,True,False,3,9,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,7,vertical,cloud,False
cloud_vertical_fallback-7-4,True,False,False,True,False,4,10,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,7,vertical,cloud,False
cloud_vertical_fallback-7-5,False,True,False,False,False,5,,,-40.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,7,vertical,cloud,False
cloud_vertical_fallback-13-0,True,False,False,True,False,0,6,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,13,vertical,cloud,False
cloud_vertical_fallback-13-1,True,False,False,True,False,1,7,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,13,vertical,cloud,False
cloud_vertical_fallback-13-2,True,False,False,True,False,2,8,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,13,vertical,cloud,False
cloud_vertical_fallback-13-3,True,False,False,True,False,3,9,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,13,vertical,cloud,False
cloud_vertical_fallback-13-4,True,False,False,True,False,4,10,6.0,-6.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,13,vertical,cloud,False
cloud_vertical_fallback-13-5,False,True,False,False,False,5,,,-40.0,"[3, 4, 5]",CLOUD_ONLY,cloud_vertical_fallback,high,tight,13,vertical,cloud,False
cloud_vertical_fallback-7-0,True,False,False,False,False,0,3,3.0,-3.0,"[1, 2, 3]",CLOUD_ONLY,cloud_vertical_fallback,low,moderate,7,vertical,cloud,False
cloud_vertical_fallback-7-1,True,False,False,False,False,1,4,3.0,-3.0,"[1, 2, 3]",CLOUD_ONLY,cloud_vertical_fallback,low,moderate,7,vertical,cloud,False
